Year,World rank,Company,Country,Region,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%),
2024,217,"WEICHAI POWER CO., LTD.",China,China,CHN,Automobiles & Parts,Automobiles & Parts,1135.22,4.24,28442.83,0.81,3.99,970.53,2.22,3.41,116.97,2221.81,29.63,7.81,2861.80,-6.35,97288,9.11,
2024,218,"LUCID GROUP, INC.",US,US,USA,Automobiles & Parts,Automobiles & Parts,1132.40,25.55,777.58,35.71,145.63,850.75,-2.94,109.41,133.11,-2888.17,-2.42,-371.43,8754.74,-5.04,6800,4.62,
2024,219,"DOORDASH, INC.",US,US,USA,ICT services,Software & Computer Services,1128.12,43.28,10320.53,24.17,10.93,100.11,-15.45,0.97,1126.92,-36.58,-93.41,-0.35,62808.37,79.10,23700,22.80,
2024,220,ILLUMINA INC,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,1123.30,-12.26,4208.30,-2.93,26.69,123.21,-34.36,2.93,911.72,-801.81,-22.08,-19.05,20400.16,-3.55,10370,-2.54,
2024,221,GENMAB A/S,Denmark,EU,DNK,Health industries,Pharmaceuticals & Biotechnology,1116.68,30.19,2886.37,30.67,38.69,25.07,-48.91,0.87,4453.48,939.02,31.61,32.53,13309.82,-30.28,2682,21.69,
2024,222,JUNIPER NETWORKS INC,US,US,USA,ICT producers,Technology Hardware & Equipment,1107.42,0.53,4883.63,-8.82,22.68,101.16,-34.07,2.07,1094.67,350.18,-35.92,7.17,11935.02,32.73,11271,1.14,
2024,223,ACCENTURE PUBLIC LIMITED COMPANY,US,US,USA,Others,Support Services,1107.35,-11.41,62466.52,1.22,1.77,497.17,-2.21,0.80,222.73,9236.55,8.92,14.79,207247.77,-0.93,774000,5.59,
2024,224,INTUITIVE SURGICAL INC,US,US,USA,Health industries,Health Care Equipment & Services,1102.42,14.67,8039.37,17.24,13.71,1069.59,4.42,13.30,103.07,2260.95,32.95,28.12,178950.34,57.51,15638,14.35,
2024,225,"CROWDSTRIKE HOLDINGS, INC.",US,US,USA,ICT services,Software & Computer Services,1093.34,38.87,3805.59,29.39,28.73,245.31,44.37,6.45,445.70,-115.92,5936.59,-3.05,89569.09,31.96,10118,27.67,
2024,226,CHUGAI PHARMACEUTICAL CO LTD,Japan,Japan,JPN,Health industries,Pharmaceuticals & Biotechnology,1083.92,4.51,7179.02,5.33,15.10,309.18,-29.93,4.31,350.58,3323.94,23.41,46.30,72210.05,25.89,7778,2.29,
2024,227,"COINBASE GLOBAL, INC.",US,US,USA,Financial,Financial Services,1075.43,4.99,6318.25,111.17,17.02,,,,,2151.73,-6276.09,34.06,48974.10,44.12,3772,10.42,
2024,228,NORTHROP GRUMMAN CORPORATION,US,US,USA,ICT producers,Electronic & Electrical Equipment,1058.81,-8.33,39496.58,4.44,2.68,1700.84,-0.45,4.31,62.25,4206.37,72.25,10.65,65813.26,-2.53,97000,-3.96,
2024,229,SHELL PLC,UK,ROW,GBR,Energy,Oil & Gas Producers,1057.85,-14.61,273666.38,-10.20,0.39,18867.07,-14.75,6.89,5.61,33409.38,-6.95,12.21,182836.75,-10.51,96000,-6.80,
2024,230,APTIV PLC,US,US,USA,Automobiles & Parts,Automobiles & Parts,1055.92,-14.90,18974.88,-1.69,5.56,798.92,-8.39,4.21,132.17,1958.80,18.18,10.32,,,141000,-8.44,
2024,231,"EISAICO.,LTD.",Japan,Japan,JPN,Health industries,Pharmaceuticals & Biotechnology,1052.58,1.55,4841.16,6.42,21.74,73.18,-16.67,1.51,1438.31,288.68,-11.86,5.96,7477.83,-33.86,10917,-1.36,
2024,232,MOBILEYE GLOBAL INC,US,US,USA,Automobiles & Parts,Automobiles & Parts,1042.45,21.82,1592.07,-20.44,65.48,77.97,-17.35,4.90,1337.04,-3104.24,9672.73,-194.98,1908.75,-51.33,3900,5.41,
